Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0805_2012Metric,89.8,-93.25,0.0,top
C10,10u,C_0805_2012Metric,52.435,-24.1975,0.0,top
C11,4.7u,C_0805_2012Metric,62.135,-27.0325,0.0,top
C12,1u,C_0805_2012Metric,67.32,-21.8825,90.0,top
C13,10n,C_0805_2012Metric,72.32,-21.8825,90.0,top
C14,220n,C_0805_2012Metric,82.285,-26.3125,90.0,top
C15,10p,C_0603_1608Metric,84.62,-21.8825,90.0,top
C16,4.7u,C_0805_2012Metric,87.02,-21.8825,-90.0,top
C17,1u,C_0805_2012Metric,87.085,-26.3125,-90.0,top
C18,0.1u,C_0805_2012Metric,29.1,-27.0325,180.0,top
C19,0.1u,C_0805_2012Metric,49.04,-21.8825,90.0,top
C2,1u,C_0805_2012Metric,89.85,-85.75,180.0,top
C20,0.1u,C_0805_2012Metric,65.12,-21.8825,90.0,top
C21,0.1u,C_0805_2012Metric,82.32,-21.8825,90.0,top
C22,0.1u,C_0805_2012Metric,25.1525,-27.0325,180.0,top
C23,0.1u,C_0805_2012Metric,42.11,-27.0325,180.0,top
C24,0.1u,C_0805_2012Metric,58.235,-27.0325,180.0,top
C25,0.1u,C_0805_2012Metric,75.285,-27.0325,180.0,top
C26,0.1u,C_0805_2012Metric,97.02,-21.8825,90.0,top
C27,1u,C_0805_2012Metric,100.2,-35.2,90.0,top
C28,1u,C_0805_2012Metric,96.55,-37.3,180.0,top
C29,0.1u,C_0805_2012Metric,29.1,-36.5,180.0,top
C3,4.7u,C_0805_2012Metric,93.75,-93.25,0.0,top
C30,0.1u,C_0805_2012Metric,25.1525,-36.5,180.0,top
C31,100n,C_0805_2012Metric,34.9525,-33.5,0.0,top
C32,200n,C_0805_2012Metric,38.495,-30.53,0.0,top
C33,100n,C_0805_2012Metric,38.495,-33.5,0.0,top
C34,0.1u,C_0805_2012Metric,49.04,-31.25,90.0,top
C35,0.1u,C_0805_2012Metric,42.11,-36.5,180.0,top
C36,10u,C_0805_2012Metric,52.435,-30.53,0.0,top
C37,4.7u,C_0805_2012Metric,62.135,-36.5,0.0,top
C38,10u,C_0805_2012Metric,52.435,-33.5,0.0,top
C39,1u,C_0805_2012Metric,67.32,-31.25,90.0,top
C4,2.2u,C_0603_1608Metric,85.75,-85.75,180.0,top
C40,0.1u,C_0805_2012Metric,65.12,-31.25,90.0,top
C41,0.1u,C_0805_2012Metric,58.235,-36.5,180.0,top
C42,1u,C_0805_2012Metric,79.3,-36.5,0.0,top
C43,10n,C_0805_2012Metric,72.32,-31.25,90.0,top
C44,0.1u,C_0805_2012Metric,82.285,-31.25,90.0,top
C45,0.1u,C_0805_2012Metric,75.285,-36.5,180.0,top
C46,4.7u,C_0805_2012Metric,82.285,-35.75,-90.0,top
C47,0.1u,C_0805_2012Metric,93.3,-31.25,90.0,top
C48,1u,C_0805_2012Metric,79.3,-46.0,0.0,top
C49,4.7u,C_0805_2012Metric,82.285,-45.28,-90.0,top
C5,2.2u,C_0603_1608Metric,93.85,-90.75,0.0,top
C50,0.1u,C_0805_2012Metric,29.1,-55.5,180.0,top
C51,0.1u,C_0805_2012Metric,25.1525,-55.5,180.0,top
C52,0.1u,C_0805_2012Metric,93.3,-40.75,90.0,top
C53,100n,C_0805_2012Metric,34.9525,-52.5,0.0,top
C54,200n,C_0805_2012Metric,38.495,-49.53,0.0,top
C55,100n,C_0805_2012Metric,38.495,-52.0,0.0,top
C56,1u,C_0805_2012Metric,79.2,-55.5,0.0,top
C57,4.7u,C_0805_2012Metric,82.285,-54.78,-90.0,top
C58,0.1u,C_0805_2012Metric,49.04,-50.25,90.0,top
C59,0.1u,C_0805_2012Metric,42.11,-55.5,180.0,top
C6,200n,C_0805_2012Metric,38.495,-21.1625,0.0,top
C60,0.1u,C_0805_2012Metric,93.3,-50.25,90.0,top
C61,10u,C_0805_2012Metric,52.435,-49.53,0.0,top
C62,4.7u,C_0805_2012Metric,62.135,-55.5,0.0,top
C63,10u,C_0805_2012Metric,52.435,-52.0,0.0,top
C64,1u,C_0805_2012Metric,67.32,-50.25,90.0,top
C65,0.1u,C_0805_2012Metric,65.12,-50.25,90.0,top
C66,0.1u,C_0805_2012Metric,58.235,-55.5,0.0,top
C67,10n,C_0805_2012Metric,72.32,-50.25,90.0,top
C68,0.1u,C_0805_2012Metric,82.285,-50.25,90.0,top
C69,0.1u,C_0805_2012Metric,75.285,-55.5,180.0,top
C7,100n,C_0805_2012Metric,34.9525,-24.22,0.0,top
C70,0.1u,C_0805_2012Metric,29.115,-46.0,180.0,top
C71,0.1u,C_0805_2012Metric,25.1675,-46.0,180.0,top
C72,100n,C_0805_2012Metric,34.9675,-42.5,0.0,top
C73,200n,C_0805_2012Metric,38.51,-40.03,0.0,top
C74,100n,C_0805_2012Metric,38.51,-42.5,0.0,top
C75,0.1u,C_0805_2012Metric,49.055,-40.75,90.0,top
C76,0.1u,C_0805_2012Metric,42.125,-46.0,180.0,top
C77,10u,C_0805_2012Metric,52.45,-40.03,0.0,top
C78,4.7u,C_0805_2012Metric,62.15,-46.0,0.0,top
C79,10u,C_0805_2012Metric,52.45,-42.5,0.0,top
C8,100n,C_0805_2012Metric,38.495,-24.22,0.0,top
C80,1u,C_0805_2012Metric,67.335,-40.75,90.0,top
C81,0.1u,C_0805_2012Metric,65.135,-40.75,90.0,top
C82,0.1u,C_0805_2012Metric,58.25,-46.0,180.0,top
C83,10n,C_0805_2012Metric,72.335,-40.75,90.0,top
C84,0.1u,C_0805_2012Metric,82.3,-40.75,90.0,top
C85,0.1u,C_0805_2012Metric,75.3,-46.0,180.0,top
C86,1u,C_0805_2012Metric,89.85,-70.75,180.0,top
C87,1u,C_0805_2012Metric,89.1,-77.0,0.0,top
C88,100n,C_0805_2012Metric,98.6,-88.25,180.0,top
C89,100n,C_0805_2012Metric,98.6,-90.75,180.0,top
C9,10u,C_0805_2012Metric,52.435,-21.1625,0.0,top
C90,100n,C_0805_2012Metric,118.4,-95.25,0.0,top
C91,100n,C_0805_2012Metric,118.55,-60.25,0.0,top
C92,1u,C_0805_2012Metric,103.68943,-21.2,0.0,top
C93,1u,C_0805_2012Metric,103.68943,-25.8,180.0,top
C94,1u,C_0805_2012Metric,103.68943,-36.5,180.0,top
C95,1u,C_0805_2012Metric,103.68943,-47.1,180.0,top
C96,10u,C_0805_2012Metric,88.7,-64.95,90.0,top
D1,LED,LED_0805_2012Metric,109.35,-89.5,180.0,top
J1,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,106.6875,-94.565,0.0,top
J2,Conn_01x06_Pin,PinHeader_1x06_P2.54mm_Vertical,20.8975,-28.35,0.0,top
J3,JSL-PH-02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,83.85,-64.25,0.0,top
J4,Conn_01x06_Pin,PinHeader_1x06_P2.54mm_Vertical,88.65,-59.6,90.0,top
J5,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,89.5,-17.9,0.0,top
L1,MMZ2012Y152BT000,L_0805_2012Metric,100.07,-40.75,90.0,top
L2,MMZ2012Y152BT000,L_0805_2012Metric,97.0,-26.2625,-90.0,top
Q1,Q_NPN_BEC,SOT-23,104.35,-83.0,0.0,top
Q2,Q_NPN_BEC,SOT-23,104.6,-86.5,180.0,top
R1,66.7k,R_0805_2012Metric,81.975,-83.25,0.0,top
R10,5k,R_0805_2012Metric,46.11,-27.0625,0.0,top
R100,1.8k,R_0805_2012Metric,32.0,-45.3,90.0,top
R101,1.8k,R_0805_2012Metric,32.0,-40.7125,90.0,top
R102,1.8k,R_0805_2012Metric,32.0,-54.8,90.0,top
R103,1.8k,R_0805_2012Metric,32.0,-50.23,90.0,top
R11,95k,R_0603_1608Metric,49.01,-26.3325,90.0,top
R12,22k,R_0805_2012Metric,55.32,-21.8625,-90.0,top
R13,47k,R_0805_2012Metric,52.415,-27.0625,0.0,top
R14,910,R_0805_2012Metric,55.32,-26.3325,-90.0,top
R15,1.1k,R_0603_1608Metric,65.09,-26.3325,90.0,top
R16,910,R_0805_2012Metric,67.29,-26.3325,90.0,top
R17,1k,R_0805_2012Metric,72.29,-26.3325,-90.0,top
R18,100k,R_0603_1608Metric,70.02,-21.8625,90.0,top
R19,5.6k,R_0805_2012Metric,79.285,-27.0625,0.0,top
R2,100k,R_0603_1608Metric,81.8875,-85.75,180.0,top
R20,270k,R_0805_2012Metric,84.585,-26.3325,90.0,top
R21,100k,R_0603_1608Metric,93.985,-27.0625,0.0,top
R22,100k,R_0603_1608Metric,89.985,-27.0625,0.0,top
R23,500,R_0805_2012Metric,70.02,-26.3325,90.0,top
R24,10k,R_0805_2012Metric,96.545,-40.0,0.0,top
R25,10k,R_0805_2012Metric,96.545,-42.5,0.0,top
R26,10k,R_0805_2012Metric,100.17,-26.3325,90.0,top
R27,10k,R_0805_2012Metric,100.17,-31.2125,90.0,top
R28,560,R_0805_2012Metric,25.1325,-30.5,0.0,top
R29,560,R_0805_2012Metric,29.08,-30.5,180.0,top
R3,100k,R_0603_1608Metric,93.85,-88.25,180.0,top
R30,30k,R_0805_2012Metric,34.9325,-36.53,180.0,top
R31,16k,R_0805_2012Metric,34.9325,-30.5,180.0,top
R32,30k,R_0805_2012Metric,38.475,-36.53,180.0,top
R33,5k,R_0805_2012Metric,46.11,-36.53,0.0,top
R34,95k,R_0603_1608Metric,49.01,-35.8,90.0,top
R35,910,R_0805_2012Metric,55.32,-35.8,-90.0,top
R36,22k,R_0805_2012Metric,55.32,-31.23,-90.0,top
R37,1.1k,R_0603_1608Metric,65.09,-35.8,90.0,top
R38,910,R_0805_2012Metric,67.29,-35.8,90.0,top
R39,47k,R_0805_2012Metric,52.415,-36.53,0.0,top
R4,63.9k,R_0805_2012Metric,93.8,-85.75,180.0,top
R40,1k,R_0805_2012Metric,72.29,-35.8,-90.0,top
R41,500,R_0805_2012Metric,70.02,-35.8,90.0,top
R42,100k,R_0603_1608Metric,86.06,-36.5,0.0,top
R43,100k,R_0603_1608Metric,70.02,-31.23,90.0,top
R44,100k,R_0603_1608Metric,89.9725,-36.5,0.0,top
R45,560,R_0805_2012Metric,25.1675,-49.5,0.0,top
R46,560,R_0805_2012Metric,29.08,-49.5,180.0,top
R47,100k,R_0603_1608Metric,85.9125,-46.0,0.0,top
R48,100k,R_0603_1608Metric,89.9125,-46.0,0.0,top
R49,30k,R_0805_2012Metric,34.9325,-55.53,180.0,top
R5,560,R_0805_2012Metric,25.1675,-21.1325,0.0,top
R50,16k,R_0805_2012Metric,34.9325,-49.5,180.0,top
R51,30k,R_0805_2012Metric,38.475,-55.53,180.0,top
R52,100k,R_0603_1608Metric,85.8975,-55.5,0.0,top
R53,100k,R_0603_1608Metric,89.8975,-55.5,0.0,top
R54,5k,R_0805_2012Metric,46.11,-55.53,0.0,top
R55,95k,R_0603_1608Metric,49.01,-54.8,90.0,top
R56,910,R_0805_2012Metric,55.32,-54.8,-90.0,top
R57,22k,R_0805_2012Metric,55.32,-50.23,-90.0,top
R58,1.1k,R_0603_1608Metric,65.09,-54.8,90.0,top
R59,910,R_0805_2012Metric,67.29,-54.8,90.0,top
R6,560,R_0805_2012Metric,29.115,-21.1325,180.0,top
R60,47k,R_0805_2012Metric,52.415,-55.53,0.0,top
R61,1k,R_0805_2012Metric,72.29,-54.8,-90.0,top
R62,500,R_0805_2012Metric,70.02,-54.8,90.0,top
R63,100k,R_0603_1608Metric,70.02,-50.23,90.0,top
R64,560,R_0805_2012Metric,25.1475,-40.0,0.0,top
R65,560,R_0805_2012Metric,29.095,-40.0,180.0,top
R66,30k,R_0805_2012Metric,34.9475,-46.03,180.0,top
R67,16k,R_0805_2012Metric,34.9475,-40.0,180.0,top
R68,30k,R_0805_2012Metric,38.49,-46.03,180.0,top
R69,5k,R_0805_2012Metric,46.125,-46.03,0.0,top
R7,30k,R_0805_2012Metric,34.9325,-27.0625,180.0,top
R70,95k,R_0603_1608Metric,49.025,-45.3,90.0,top
R71,910,R_0805_2012Metric,55.335,-45.3,-90.0,top
R72,22k,R_0805_2012Metric,55.335,-40.73,-90.0,top
R73,1.1k,R_0603_1608Metric,65.105,-45.3,90.0,top
R74,910,R_0805_2012Metric,67.305,-45.3,90.0,top
R75,47k,R_0805_2012Metric,52.43,-46.03,0.0,top
R76,1k,R_0805_2012Metric,72.305,-45.3,-90.0,top
R77,500,R_0805_2012Metric,70.035,-45.3,90.0,top
R78,100k,R_0603_1608Metric,70.035,-40.73,90.0,top
R79,1k,R_0805_2012Metric,104.6,-89.5,0.0,top
R8,30k,R_0805_2012Metric,38.475,-27.0625,180.0,top
R80,10k,R_0805_2012Metric,109.35,-86.75,180.0,top
R81,10k,R_0805_2012Metric,109.35,-83.75,180.0,top
R82,10k,R_0805_2012Metric,98.6,-85.75,0.0,top
R83,10k,R_0805_2012Metric,118.35,-97.5,0.0,top
R84,100k,R_0603_1608Metric,100.0125,-21.2,0.0,top
R85,1M,R_0805_2012Metric,100.025,-23.4,0.0,top
R86,100k,R_0603_1608Metric,103.66943,-23.4,0.0,top
R87,100k,R_0603_1608Metric,103.66943,-28.1485,0.0,top
R88,1M,R_0805_2012Metric,103.66943,-31.0985,0.0,top
R89,100k,R_0603_1608Metric,103.66943,-34.0485,180.0,top
R9,16k,R_0805_2012Metric,34.9325,-21.1325,180.0,top
R90,100k,R_0603_1608Metric,103.66943,-38.95,0.0,top
R91,1M,R_0805_2012Metric,103.66943,-41.9,0.0,top
R92,100k,R_0603_1608Metric,103.66943,-44.85,180.0,top
R93,100k,R_0603_1608Metric,103.66943,-49.7,0.0,top
R94,1M,R_0805_2012Metric,103.66943,-52.65,0.0,top
R95,100k,R_0603_1608Metric,103.66943,-55.5,180.0,top
R96,1.8k,R_0805_2012Metric,32.0,-26.3325,90.0,top
R97,1.8k,R_0805_2012Metric,32.0,-21.8625,90.0,top
R98,1.8k,R_0805_2012Metric,32.0,-35.8,90.0,top
R99,1.8k,R_0805_2012Metric,32.0,-31.23,90.0,top
S1,K3-1280S-F1,SW_JS102011SAQN,109.05,-23.9385,90.0,top
S10,K3-1280S-F1,SW_JS102011SAQN,116.45,-34.0,90.0,top
S11,K3-1280S-F1,SW_JS102011SAQN,116.45,-43.55,90.0,top
S12,K3-1280S-F1,SW_JS102011SAQN,116.45,-53.3915,90.0,top
S2,K3-1280S-F1,SW_JS102011SAQN,109.05,-34.0,90.0,top
S3,K3-1280S-F1,SW_JS102011SAQN,109.05,-53.3915,90.0,top
S4,K3-1280S-F1,SW_JS102011SAQN,109.05,-43.5,90.0,top
S5,K3-1280S-F1,SW_JS102011SAQN,83.85,-92.65,-90.0,top
S6,K3-1280S-F1,SW_JS102011SAQN,83.85,-75.0,-90.0,top
S7,TS-1088-AR02016,SW_TS-1088-AR02016,98.6875,-95.6,-90.0,top
S8,TS-1088-AR02016,SW_TS-1088-AR02016,114.6,-95.5,-90.0,top
S9,K3-1280S-F1,SW_JS102011SAQN,116.45,-23.9385,90.0,top
U1,INA333AIDGKR,SOP65P490X110-8N,27.1475,-24.0325,0.0,top
U10,OPA2333AIDR,SOIC127P599X175-8N,60.22,-32.2525,0.0,top
U11,OPA2333AIDR,SOIC127P599X175-8N,77.32,-32.2525,0.0,top
U12,OPA2333AIDR,SOIC127P599X175-8N,87.93,-32.2525,0.0,top
U13,INA333AIDGKR,SOP65P490X110-8N,27.1475,-52.5,0.0,top
U14,OPA2333AIDR,SOIC127P599X175-8N,87.93,-41.7525,0.0,top
U15,OPA2333AIDR,SOIC127P599X175-8N,44.115,-51.2525,0.0,top
U16,OPA2333AIDR,SOIC127P599X175-8N,87.93,-51.2525,0.0,top
U17,OPA2333AIDR,SOIC127P599X175-8N,60.22,-51.2525,0.0,top
U18,OPA2333AIDR,SOIC127P599X175-8N,77.32,-51.2525,0.0,top
U19,INA333AIDGKR,SOP65P490X110-8N,27.1625,-42.966666,0.0,top
U2,OPA2333AIDR,SOIC127P599X175-8N,44.115,-22.885,0.0,top
U20,OPA2333AIDR,SOIC127P599X175-8N,44.13,-41.7525,0.0,top
U21,OPA2333AIDR,SOIC127P599X175-8N,60.235,-41.7525,0.0,top
U22,OPA2333AIDR,SOIC127P599X175-8N,77.335,-41.7525,0.0,top
U23,XC6206PxxxMR,SOT-23-3,89.4375,-73.75,90.0,top
U24,ESP32-WROOM-32D,ESP32-WROOM-32D,110.57,-71.25,180.0,top
U25,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,116.625,-86.845,270.0,top
U3,ADS1115IDGSR,SOP50P490X110-10N,96.6,-32.67,-90.0,top
U4,LM27762DSSR,DSS0012B,89.834997,-89.699999,90.0,top
U5,OPA2333AIDR,SOIC127P599X175-8N,60.22,-22.885,0.0,top
U6,OPA2333AIDR,SOIC127P599X175-8N,77.32,-22.885,0.0,top
U7,OPA2333AIDR,SOIC127P599X175-8N,92.02,-22.885,0.0,top
U8,INA333AIDGKR,SOP65P490X110-8N,27.1475,-33.433333,0.0,top
U9,OPA2333AIDR,SOIC127P599X175-8N,44.115,-32.2525,0.0,top
